timestamp,node_id,traffic_volume,latency_ms,packet_loss_pct,signal_strength_dbm,error_rate,cpu_utilisation,memory_utilisation,fault
2024-01-01 00:00:00,node_001,559.61,20.49,0.1748,-55.54,0.0144,38.7,43.67,0
2024-01-01 00:05:00,node_001,483.41,19.68,0.5741,-65.95,0.0146,58.98,51.75,0
2024-01-01 00:10:00,node_001,577.72,24.76,0.1076,-69.74,0.0018,39.79,51.9,0
2024-01-01 00:15:00,node_001,682.76,27.66,0.7678,-67.06,0.0158,39.63,51.28,0
2024-01-01 00:20:00,node_001,471.9,23.43,0.0465,-65.31,0.0296,51.77,50.82,0
2024-01-01 00:25:00,node_001,471.9,25.06,0.8815,-61.6,0.0028,62.14,65.15,0
2024-01-01 00:30:00,node_001,689.51,18.91,0.422,-64.08,0.0554,41.11,61.0,0
2024-01-01 00:35:00,node_001,592.09,20.63,0.0094,-57.45,0.0116,32.69,42.05,0
2024-01-01 00:40:00,node_001,443.66,27.43,0.1464,-67.3,0.0001,48.69,61.88,0
2024-01-01 00:45:00,node_001,565.11,22.63,0.3293,-75.75,0.0068,36.55,53.13,0
2024-01-01 00:50:00,node_001,444.39,18.79,0.5146,-68.11,0.0032,52.25,48.06,0
2024-01-01 00:55:00,node_001,444.11,20.16,0.5601,-57.27,0.0143,59.05,37.47,0
2024-01-01 01:00:00,node_001,529.04,25.19,1.1269,-54.79,0.0293,32.78,42.51,0
2024-01-01 01:05:00,node_001,270.41,25.63,0.2883,-57.37,0.0057,39.66,54.13,0
2024-01-01 01:10:00,node_001,293.01,15.79,0.0063,-49.09,0.0173,43.22,47.24,0
2024-01-01 01:15:00,node_001,432.53,21.81,0.1552,-70.77,0.0346,69.93,54.04,0
2024-01-01 01:20:00,node_001,378.46,19.96,0.0488,-53.44,0.0254,36.9,45.06,0
2024-01-01 01:25:00,node_001,537.71,19.67,0.911,-57.32,0.0156,67.72,46.35,0
2024-01-01 01:30:00,node_001,391.04,26.65,0.0812,-65.33,0.0251,28.06,28.68,0
2024-01-01 01:35:00,node_001,330.52,18.81,0.2218,-83.15,0.0241,31.94,72.64,0
2024-01-01 01:40:00,node_001,675.88,17.12,0.0785,-67.17,0.009,50.97,50.85,0
2024-01-01 01:45:00,node_001,472.91,15.93,0.3634,-65.37,0.0114,66.57,46.92,0
2024-01-01 01:50:00,node_001,508.1,19.13,0.1088,-75.03,0.0087,44.27,48.28,0
2024-01-01 01:55:00,node_001,329.03,16.32,0.7217,-65.86,0.0354,50.41,43.85,0
2024-01-01 02:00:00,node_001,434.67,15.68,0.3377,-65.69,0.0152,69.75,67.44,0
2024-01-01 02:05:00,node_001,513.31,15.55,0.3426,-62.68,0.0179,37.65,39.63,0
2024-01-01 02:10:00,node_001,361.88,15.85,1.5102,-72.81,0.0329,74.64,50.25,0
2024-01-01 02:15:00,node_001,545.08,16.2,0.1937,-66.85,0.0665,54.05,40.14,0
2024-01-01 02:20:00,node_001,427.92,22.0,0.2396,-72.55,0.0094,42.78,69.92,0
2024-01-01 02:25:00,node_001,465.0,10.2,0.4482,-65.29,0.0489,34.52,32.77,0
2024-01-01 02:30:00,node_001,427.8,16.49,0.2087,-75.46,0.0052,43.32,37.08,0
2024-01-01 02:35:00,node_001,722.27,19.5,0.8829,-68.09,0.0001,31.59,29.72,0
2024-01-01 02:40:00,node_001,498.38,25.74,0.3955,-62.79,0.0047,63.81,56.46,0
2024-01-01 02:45:00,node_001,373.07,18.77,0.0013,-69.39,0.0306,52.24,63.36,0
2024-01-01 02:50:00,node_001,598.71,19.23,0.1944,-66.23,0.0619,60.26,50.21,0
2024-01-01 02:55:00,node_001,353.5,19.56,0.3457,-64.82,0.0162,2.92,59.2,0
2024-01-01 03:00:00,node_001,525.06,10.88,0.7583,-58.17,0.0117,72.02,41.1,0
2024-01-01 03:05:00,node_001,264.84,23.3,0.6748,-64.77,0.1089,39.9,58.59,0
2024-01-01 03:10:00,node_001,340.62,23.09,0.5546,-67.36,0.0387,50.61,54.6,0
2024-01-01 03:15:00,node_001,523.62,24.07,0.8977,-62.6,0.0183,46.68,43.51,0
2024-01-01 03:20:00,node_001,588.62,32.53,0.1205,-60.95,0.0193,22.85,48.89,0
2024-01-01 03:25:00,node_001,520.56,13.51,0.3078,-71.97,0.0062,55.15,53.23,0
2024-01-01 03:30:00,node_001,486.12,12.56,0.389,-71.55,0.0144,40.66,58.54,0
2024-01-01 03:35:00,node_001,463.87,23.53,1.8163,-64.25,0.0767,59.19,68.61,0
2024-01-01 03:40:00,node_001,322.58,18.31,1.8711,-56.69,0.0017,48.24,54.11,0
2024-01-01 03:45:00,node_001,413.62,15.07,0.3439,-67.05,0.0368,57.73,61.87,0
2024-01-01 03:50:00,node_001,444.72,18.59,0.0766,-58.78,0.0033,46.91,36.26,0
2024-01-01 03:55:00,node_001,626.85,16.91,1.0925,-57.21,0.0112,55.09,54.51,0
2024-01-01 04:00:00,node_001,940.38,104.34,12.8478,-77.63,0.1324,91.86,39.66,0
2024-01-01 04:05:00,node_001,509.79,98.83,6.2884,-93.61,0.183,67.04,31.74,0
2024-01-01 04:10:00,node_001,1113.27,109.39,6.9733,-76.11,0.2282,81.9,54.84,0
2024-01-01 04:15:00,node_001,784.67,106.84,6.5589,-75.52,0.2212,65.03,69.62,0
2024-01-01 04:20:00,node_001,768.16,70.22,3.2479,-77.78,0.0804,69.63,44.84,1
2024-01-01 04:25:00,node_001,1043.81,115.0,7.9675,-79.2,0.1766,83.98,31.47,1
2024-01-01 04:30:00,node_001,623.72,16.12,0.5995,-65.77,0.0096,40.77,57.31,0
2024-01-01 04:35:00,node_001,611.75,19.03,0.7542,-63.49,0.0074,71.31,38.82,0
2024-01-01 04:40:00,node_001,399.29,17.77,0.4259,-61.2,0.0039,36.25,37.32,0
2024-01-01 04:45:00,node_001,462.89,13.23,0.1738,-71.8,0.0705,66.62,59.37,0
2024-01-01 04:50:00,node_001,539.75,14.87,0.0062,-72.34,0.01,31.52,50.16,0
2024-01-01 04:55:00,node_001,617.07,27.73,0.4657,-55.5,0.0079,53.85,56.29,0
2024-01-01 05:00:00,node_001,442.5,18.21,0.414,-61.14,0.0405,24.33,52.46,0
2024-01-01 05:05:00,node_001,477.72,17.96,0.5023,-65.34,0.0278,45.54,61.61,0
2024-01-01 05:10:00,node_001,367.24,12.4,1.3349,-64.95,0.0081,58.86,59.71,0
2024-01-01 05:15:00,node_001,356.46,17.68,0.1358,-59.11,0.0089,67.45,75.64,0
2024-01-01 05:20:00,node_001,597.5,24.8,0.613,-64.72,0.0299,59.55,57.35,0
2024-01-01 05:25:00,node_001,662.75,22.98,0.1118,-75.54,0.0053,49.72,43.64,0
2024-01-01 05:30:00,node_001,491.36,24.06,0.7706,-57.6,0.0128,32.28,65.25,0
2024-01-01 05:35:00,node_001,620.42,13.98,0.0156,-49.91,0.0012,69.76,49.63,0
2024-01-01 05:40:00,node_001,543.4,13.9,0.1567,-62.95,0.0024,23.07,64.72,0
2024-01-01 05:45:00,node_001,422.59,25.67,0.1491,-55.38,0.0288,32.8,34.08,0
2024-01-01 05:50:00,node_001,543.37,24.13,0.9446,-78.25,0.0054,51.0,43.86,0
2024-01-01 05:55:00,node_001,684.56,18.71,0.3967,-60.89,0.0034,69.18,77.81,0
2024-01-01 06:00:00,node_001,495.7,24.27,0.2667,-78.04,0.0578,32.33,45.7,0
2024-01-01 06:05:00,node_001,687.76,13.99,0.1401,-67.09,0.0234,50.8,61.63,0
2024-01-01 06:10:00,node_001,185.63,13.78,0.1949,-61.51,0.0418,39.39,74.76,0
2024-01-01 06:15:00,node_001,598.63,11.91,0.6391,-73.55,0.0025,40.33,47.86,0
2024-01-01 06:20:00,node_001,510.45,21.81,0.9493,-69.23,0.0112,55.67,90.32,0
2024-01-01 06:25:00,node_001,464.12,21.08,0.0482,-70.45,0.0224,57.08,37.71,0
2024-01-01 06:30:00,node_001,511.01,17.39,0.0073,-58.74,0.0362,33.47,43.41,0
2024-01-01 06:35:00,node_001,261.49,16.1,0.3982,-67.5,0.0154,37.74,47.83,0
2024-01-01 06:40:00,node_001,473.64,32.07,0.9091,-67.49,0.0726,44.67,49.64,0
2024-01-01 06:45:00,node_001,542.85,18.7,0.0115,-60.48,0.0124,53.48,66.01,0
2024-01-01 06:50:00,node_001,677.35,26.94,0.4321,-58.69,0.002,37.69,56.01,0
2024-01-01 06:55:00,node_001,437.81,19.27,0.8428,-73.0,0.0485,22.22,64.58,0
2024-01-01 07:00:00,node_001,402.98,17.5,0.0602,-48.9,0.022,31.1,62.26,0
2024-01-01 07:05:00,node_001,439.79,27.08,0.2247,-54.78,0.0547,28.9,61.14,0
2024-01-01 07:10:00,node_001,609.85,23.95,0.0531,-51.37,0.0085,46.2,49.95,0
2024-01-01 07:15:00,node_001,539.45,19.88,0.0195,-66.98,0.0685,59.78,60.19,0
2024-01-01 07:20:00,node_001,436.43,25.67,0.3407,-59.69,0.0043,43.12,74.65,0
2024-01-01 07:25:00,node_001,561.59,32.6,0.5465,-63.87,0.0288,28.15,58.13,0
2024-01-01 07:30:00,node_001,511.65,16.34,1.2784,-52.99,0.0031,38.03,44.37,0
2024-01-01 07:35:00,node_001,616.24,22.36,0.1845,-74.6,0.0027,39.59,58.31,0
2024-01-01 07:40:00,node_001,415.75,17.95,0.1509,-49.66,0.0002,31.56,32.33,0
2024-01-01 07:45:00,node_001,460.68,15.33,0.4877,-61.03,0.0991,49.72,59.2,0
2024-01-01 07:50:00,node_001,452.95,15.19,1.4711,-64.47,0.0537,76.86,73.21,0
2024-01-01 07:55:00,node_001,324.38,27.96,0.1027,-69.91,0.0107,41.69,61.23,0
2024-01-01 08:00:00,node_001,535.53,10.88,0.0632,-58.43,0.0133,57.29,59.78,0
2024-01-01 08:05:00,node_001,531.33,22.54,0.9267,-62.61,0.054,36.04,50.92,0
2024-01-01 08:10:00,node_001,500.61,15.87,0.0719,-60.79,0.0391,54.63,48.21,0
2024-01-01 08:15:00,node_001,471.85,28.86,0.2856,-56.13,0.0559,73.05,67.13,0
2024-01-01 08:20:00,node_001,330.16,18.63,0.7603,-61.97,0.0339,45.37,27.0,0
2024-01-01 08:25:00,node_001,449.52,18.18,0.2352,-54.51,0.0068,40.41,50.67,0
2024-01-01 08:30:00,node_001,458.87,27.85,0.5242,-78.04,0.1032,41.35,54.34,0
2024-01-01 08:35:00,node_001,403.73,24.38,0.7871,-56.29,0.0337,45.68,77.77,0
2024-01-01 08:40:00,node_001,480.65,22.77,0.3881,-73.89,0.0144,59.82,47.89,0
2024-01-01 08:45:00,node_001,548.49,24.03,0.1116,-64.79,0.0433,73.2,37.87,0
2024-01-01 08:50:00,node_001,1674.39,96.22,6.58,-92.72,0.2427,39.32,74.32,0
2024-01-01 08:55:00,node_001,906.79,142.2,15.3085,-90.74,0.055,83.65,44.65,0
2024-01-01 09:00:00,node_001,1245.84,105.6,9.1325,-73.36,0.1576,65.88,36.22,0
2024-01-01 09:05:00,node_001,2129.5,208.69,20.0051,-92.62,0.3366,77.21,56.11,0
2024-01-01 09:10:00,node_001,905.19,259.03,13.5712,-69.88,0.3561,81.07,40.41,1
2024-01-01 09:15:00,node_001,2067.69,164.79,22.5139,-110.58,0.1492,73.83,71.17,1
2024-01-01 09:20:00,node_001,1206.02,96.98,6.841,-88.08,0.168,78.54,50.16,0
2024-01-01 09:25:00,node_001,1211.41,115.64,9.8974,-87.65,0.1221,69.97,28.41,1
2024-01-01 09:30:00,node_001,746.39,80.04,8.9691,-81.89,0.2896,87.19,73.76,1
2024-01-01 09:35:00,node_001,536.19,19.27,0.5343,-77.02,0.0044,49.14,51.05,0
2024-01-01 09:40:00,node_001,495.83,20.1,0.9646,-72.95,0.0054,33.26,49.69,0
2024-01-01 09:45:00,node_001,359.76,22.97,2.2102,-51.1,0.0004,29.57,50.94,0
2024-01-01 09:50:00,node_001,637.14,8.06,0.4979,-83.34,0.0705,29.72,55.45,0
2024-01-01 09:55:00,node_001,590.23,21.94,0.464,-74.45,0.0303,42.68,40.01,0
2024-01-01 10:00:00,node_001,594.92,17.44,0.0595,-80.93,0.0073,55.79,55.1,0
2024-01-01 10:05:00,node_001,390.87,24.05,1.2725,-58.33,0.0074,53.87,82.21,0
2024-01-01 10:10:00,node_001,668.34,19.99,0.0324,-59.49,0.0178,29.24,75.94,0
2024-01-01 10:15:00,node_001,331.78,18.33,0.5661,-76.69,0.0061,37.5,35.77,0
2024-01-01 10:20:00,node_001,570.42,19.11,0.679,-61.23,0.0252,74.72,67.0,0
